Name	Cornhole League
Address	/store/apps/details?id=com.sport.cornhole
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 6:56	4.5	1,165	100	32	7	4	3
2020.11.19 5:21	4.4	1,675	100	29	12	3	6
2020.11.19 6:21	4.4	1,678	100	37	14	4	5
2020.11.19 6:35	4.4	1,679	100	37	14	4	5
2020.11.19 7:36	4.4	1,682	100	38	14	4	5
2020.11.19 8:36	4.4	1,683	100	38	14	4	5
2020.11.19 9:36	4.4	1,686	100	37	13	4	5
2020.11.19 10:37	4.4	1,687	100	38	13	4	5
2020.11.19 11:37	4.4	1,691	100	38	14	4	5
2020.11.19 12:37	4.4	1,692	100	38	14	4	5
2020.11.19 13:38	4.4	1,697	100	40	14	4	5
2020.11.21 4:58	4.4	1,903	100	47	15	2	5
2020.11.21 4:59	4.4	1,906	100	47	16	2	5
2020.11.21 5:59	4.4	1,909	100	46	16	2	5
2020.11.21 7:0	4.4	1,911	100	46	16	2	5
2020.11.21 7:48	4.4	1,914	100	46	16	2	5
2020.11.21 8:48	4.4	1,917	100	45	15	2	5
2020.11.21 9:49	4.4	1,917	100	45	15	2	5
2020.11.21 10:49	4.4	1,920	100	44	15	2	5
2020.11.21 11:49	4.4	1,923	100	46	15	2	5
2020.11.21 12:50	4.4	1,925	100	46	15	2	6
2020.11.21 13:50	4.4	1,933	100	45	15	2	5
2020.11.22 2:56	4.4	2,001	100	40	18	1	5
2020.11.22 3:56	4.4	2,013	100	41	18	2	4
2020.11.22 4:56	4.4	2,019	100	41	17	2	5
2020.11.22 5:57	4.4	2,022	100	40	17	2	5
2020.11.22 6:57	4.4	2,026	100	40	17	2	5
2020.11.22 7:57	4.4	2,028	100	41	16	2	5
2020.11.22 8:58	4.4	2,032	100	42	17	2	5
2020.11.22 9:58	4.4	2,033	100	42	17	2	5
2020.11.22 10:58	4.4	2,034	100	42	17	2	5
2020.11.23 14:34	4.4	2,185	100	34	13	2	7
2020.11.23 15:35	4.4	2,193	100	35	13	2	7
2020.11.25 14:40	4.3	2,443	100	43	14	2	7
2020.11.26 13:5	4.3	2,578	100	48	12	3	7
2020.11.26 14:5	4.3	2,583	100	47	12	3	7
2020.11.26 15:6	4.3	2,591	100	48	12	3	7
2020.11.28 11:22	4.2	2,809	100	43	15	3	11
