Name	Doodle Run 3D
Address	/store/apps/details?id=com.h8games.DoodleRun3D
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:9	4.0	75	100	9	5	0	31
2020.11.19 5:21	4.2	193	100	17	7	7	16
2020.11.19 6:21	4.2	194	100	17	7	6	16
2020.11.19 6:35	4.2	194	100	17	7	6	16
2020.11.19 7:36	4.2	196	100	17	7	6	16
2020.11.19 8:36	4.2	196	100	17	7	6	16
2020.11.19 9:36	4.2	196	100	17	7	6	16
2020.11.19 10:37	4.2	198	100	16	7	7	16
2020.11.19 11:37	4.2	199	100	16	7	7	16
2020.11.19 12:37	4.1	200	100	20	9	7	18
2020.11.19 13:38	4.1	200	100	20	9	7	18
2020.11.21 4:58	4.2	247	100	15	5	8	15
2020.11.21 4:59	4.2	247	100	15	5	8	15
2020.11.21 5:59	4.2	250	100	17	4	10	16
2020.11.21 7:0	4.2	253	100	16	4	9	15
2020.11.21 7:48	4.2	253	100	16	4	9	15
2020.11.21 8:48	4.2	253	100	16	4	9	15
2020.11.21 9:49	4.2	255	100	16	4	9	14
2020.11.21 10:49	4.2	256	100	16	4	9	16
2020.11.21 11:49	4.2	256	100	16	4	9	16
2020.11.21 12:50	4.2	257	100	16	4	9	16
2020.11.21 13:50	4.2	257	100	16	4	9	16
2020.11.22 2:56	4.1	274	100	14	6	15	15
2020.11.22 3:56	4.1	274	100	14	6	15	15
2020.11.22 4:56	4.1	283	100	10	3	18	16
2020.11.22 5:57	4.1	284	100	10	3	17	16
2020.11.22 6:57	4.1	284	100	10	3	17	16
2020.11.22 7:57	4.1	285	100	10	3	17	16
2020.11.22 8:58	4.1	286	100	12	3	17	15
2020.11.22 9:58	4.1	287	100	12	3	18	15
2020.11.22 10:58	4.1	287	100	12	3	18	15
2020.11.23 14:34	4.1	304	100	11	3	13	19
2020.11.23 15:35	4.1	306	100	8	4	12	18
2020.11.25 14:40	4.0	622	100	19	7	6	28
2020.11.26 13:5	4.0	790	100	18	9	7	25
2020.11.26 14:5	3.9	793	100	18	9	7	28
2020.11.26 15:6	3.9	798	100	18	8	7	28
2020.11.28 11:22	4.0	1,132	100	12	7	3	25
2020.11.28 11:23	4.0	1,132	100	12	7	3	25
2020.11.28 12:23	4.1	1,135	100	12	7	3	25
2020.11.28 13:23	4.1	1,137	100	12	7	4	25
2020.11.28 14:24	4.1	1,138	100	11	7	4	24
