Writer	Rate	Date	Contents
Akash Bansal	5	October 28, 2020	Awesome
guddu cartoon Hindi	5	October 28, 2020	Good
꧁༒INDIAN_PRO_ ꧁༒NASIR_Gaming_	5	October 28, 2020	☁💟💟☁💟💟☁ 💟💟💟💟💟💟💟 💟💟💟💟💟💟💟 ☁💟💟💟💟💟☁ ☁☁💟💟💟☁☁ ☁☁☁💟☁☁☁
Adem Sofilić	4	October 28, 2020	Great game! Would be amazing if we could pick our gender tho...
Adolf Hitler	5	October 28, 2020	Very Good Game.....More Relaxing.....Just Loved it......
Maruthuvignesh Maruthuvignesh	5	October 28, 2020	Super to play this game wow! What a wonderful game is this i love this game thanks to game that it helping me at boring time
Aryan Kharwar	3	October 28, 2020	Good game
S J ANDROID GAMEPLAYS	2	October 28, 2020	This game is very boaring😞plz 🙏 add some interesting things in game like fights potion like coc this game provide only make dragon city and trading 😟😟
Prada Reza	5	October 28, 2020	Nice game, keep update and keep the good content
Honey and chinna FLORANCE	5	October 28, 2020	Like game 5 star Anuraag
Manroop Singh	5	October 28, 2020	DragonscaPEs
Aka Anonymous the beast	1	October 28, 2020	It's such a boring game it takes Soo much time to build a building in proper manner and there are so many bugs also included in the game such as stoping of construction in between and plays there are no good features included in it as well
S0UL & S0UND	1	October 28, 2020	I got in and saw the dragon, then the game crashed I tried again, same thing. That and idk why y'all insist on false advertising, cuz it's nothing like the ads
Marcia Cristina Santos Paiva	5	October 28, 2020	perfeito
Daisy magnolia	1	October 28, 2020	It takes to long to load by the time its done loading my game shuts off if you can fix the coding for this and make it faster asap i will keep the game otherwise i have to get rid of it. Thank you for Listen.:)
sumit Arya	5	October 29, 2020	Nice game
Evelyn Phoebus	5	October 29, 2020	I love the game so much!!!!!!!!! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍
harpreetjnv Waringkhera	1	October 29, 2020	Pleas कम करैं mb 200 mb करें
Dawn Larsen	5	October 29, 2020	Cute game so far pretty good
Rakesh Kumar	5	October 29, 2020	Awesome
P3DIABLO	5	October 29, 2020	I love this game 🎮 ❤ 😍 ♥ 💙 🙌 🎮 ❤
Robert Thomas	5	October 29, 2020	Love it make a dragonscapes adventure 2
Sharon Oestreich	5	October 29, 2020	I love this game it is awesome keep up the good games ❤❤❤
May Libby	5	October 29, 2020	Love this game
Jen Cone	5	October 29, 2020	Excellent game
Elephant Lover	5	October 29, 2020	I like the game it is so much fun
boogy bear	1	October 29, 2020	It wont load and says i dont have a internet conection please fix. I have good internet too so.
cindy jacinto	4	October 29, 2020	Relaxing and fun
Turbo Dark	5	October 29, 2020	Beautiful
Mumu Land	5	October 29, 2020	ชอบมากๆเลยจร้า เล่นเเก้เซ็งได้ แรกๆอาจจะพลังงานหายากหน่อยแต่พอเลเวลประมาณสิบกว่าๆจะปลดล็อกโรงงานผลิตพลังงาน ส่วนเพชรเเทบไม่ต้องใช่เลย ชอบๆ
K.AARIFASHAN 007	1	October 29, 2020	Worst
Joannie Morgan	3	October 29, 2020	Really cute game, don't change a thing, love that its simulation, please don't add fighting or potions, or you would be the same as dravonvalle and a hundred other dragon games, you are unique, stay that way
Wu Qing	5	October 29, 2020	very nice game
Amanda Smith	4	October 29, 2020	Over all great game...
hinata hyuuga	5	October 29, 2020	So far the game is adorable! Cannot wait for full release.
Tiara Bonner	5	October 29, 2020	Very good game keep it up
Simon Gabriel Ursu	2	October 29, 2020	Absolutely nothing special to this game, there are plenty of other games exactly like it. Same pay to play stuff. There was not need for a new one of the like.
Carina Munch	5	October 29, 2020	rigtig fedt spil
OLHA ROMANIUK	5	October 29, 2020	Dis are kute game )))
MistrezzLia	4	October 30, 2020	Mix of Farmville, Zombie Castaways, and Wonder Merge all in one. Thoroughly enjoying it I just wish energy restored faster or there were more ways to get it. Once you're out of energy and all your machines are producing there is nothing else to do but wait.
Muhammad Makda	5	October 30, 2020	I love this game when I saw it I think what will be it date
Brogan Haddgh. 11	5	October 30, 2020	could be faster however I like this game 👍👍👍👍👍👍👍👍👍
Shattered Hands	1	October 30, 2020	There should be a way to restart your progress
Snezana Sipraga	3	October 30, 2020	I like the game but I hate energy games, can you rebalance energy rewords? I would like to play more than 2 minute. I will give you 5 stars rating if you fix it this issue.
Matt K	1	October 30, 2020	Seems to be a fun game, but the multitude of giant blinking yellow arrows makes the game unstable. They go off game freezes, every fifth one crashes the game. Plus so annoying to have the same stuff over and over pointed out. Can't play more than a few minutes before I crash. Too bad otherwise would be at least a 4 star game.
Sherry Armstrong	5	October 30, 2020	I love this cute game . Gave 5 stars, only thing I dont like is having to use Facebook to get the sign in stuff there are some of us that don't use Facebook at all. I use the google play to save game . If offer game should have same save game thing for it as well . Don't like being forced to get Facebook. Just as bad as the oculus rift thing
KZ Ni	5	October 30, 2020	ထခလ
Melissa Yadao	3	October 30, 2020	It's engaging at first but it gets kind of boring and repetitive after a while
