Name	Evo Pop
Address	/store/apps/details?id=com.zeptolab.evopop
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:55	4.5	10,313	100	19	7	3	6
2020.11.19 5:21	4.5	13,761	100	19	8	3	6
2020.11.19 6:21	4.5	13,789	100	19	8	3	6
2020.11.19 6:35	4.5	13,789	100	19	8	3	6
2020.11.19 7:36	4.5	13,811	100	19	8	3	6
2020.11.19 8:36	4.5	13,857	100	19	8	3	6
2020.11.19 9:36	4.5	13,888	100	19	8	3	6
2020.11.19 10:37	4.5	13,914	100	19	8	3	6
2020.11.19 11:37	4.5	13,949	100	19	8	3	6
2020.11.19 12:37	4.5	13,986	100	19	8	3	6
2020.11.19 13:38	4.5	14,034	100	19	8	3	6
2020.11.21 4:59	4.4	15,212	100	18	9	3	8
2020.11.21 4:59	4.4	15,222	100	18	9	3	8
2020.11.21 5:59	4.4	15,235	100	18	9	3	8
2020.11.21 7:0	4.4	15,282	100	18	8	3	8
2020.11.21 7:48	4.4	15,320	100	18	9	3	8
2020.11.21 8:48	4.4	15,348	100	19	9	3	8
2020.11.21 9:49	4.4	15,411	100	19	9	3	8
2020.11.21 10:49	4.4	15,450	100	19	9	3	9
2020.11.21 11:49	4.4	15,488	100	19	8	3	8
2020.11.21 12:50	4.4	15,553	100	19	8	3	8
2020.11.21 13:50	4.4	15,622	100	19	8	3	8
2020.11.22 2:56	4.4	16,149	100	17	7	2	8
2020.11.22 3:56	4.4	16,176	100	18	7	2	8
2020.11.22 4:56	4.4	16,206	100	17	7	3	8
2020.11.22 5:57	4.4	16,230	100	17	7	3	8
2020.11.22 6:57	4.4	16,283	100	17	7	3	8
2020.11.22 7:57	4.4	16,308	100	17	7	3	8
2020.11.22 8:58	4.4	16,352	100	18	7	3	8
2020.11.22 9:58	4.4	16,402	100	18	7	3	8
2020.11.22 10:58	4.4	16,454	100	18	7	3	8
2020.11.23 14:34	4.4	17,279	100	18	6	3	8
2020.11.23 15:35	4.4	17,300	100	18	6	3	8
2020.11.25 14:40	4.5	18,731	100	18	6	3	8
2020.11.26 13:5	4.4	19,511	100	18	6	3	8
2020.11.26 14:5	4.4	19,546	100	18	6	3	8
2020.11.26 15:6	4.4	19,571	100	18	6	3	8
2020.11.28 11:22	4.5	21,591	100	18	6	3	6
