Name	Face Clinic
Address	/store/apps/details?id=jp.co.hyper.ear
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:47	3.2	54	100	7	3	7	81
2020.11.19 5:21	3.2	62	100	6	6	9	77
2020.11.19 6:21	3.2	62	100	6	6	9	77
2020.11.19 6:35	3.2	62	100	6	6	9	77
2020.11.19 7:36	3.2	62	100	6	6	9	77
2020.11.19 8:36	3.2	63	100	6	6	9	80
2020.11.19 9:36	3.2	63	100	6	6	9	80
2020.11.19 10:37	3.2	63	100	6	6	9	80
2020.11.19 11:37	3.2	63	100	6	6	9	80
2020.11.19 12:37	3.2	63	100	6	6	9	80
2020.11.19 13:38	3.2	63	100	6	6	9	80
2020.11.21 4:59	3.2	82	100	7	10	10	77
2020.11.21 4:59	3.2	82	100	7	10	10	77
2020.11.21 5:59	3.2	83	100	7	10	10	80
2020.11.21 7:0	3.2	84	100	7	9	9	78
2020.11.21 7:48	3.2	84	100	7	9	9	78
2020.11.21 8:48	3.2	84	100	7	9	9	78
2020.11.21 9:49	3.2	84	100	7	9	9	78
2020.11.21 10:49	3.2	85	100	7	9	9	76
2020.11.21 11:49	3.2	86	100	7	9	11	76
2020.11.21 12:50	3.2	87	100	6	9	11	74
2020.11.21 13:50	3.2	87	100	6	9	11	74
2020.11.22 2:56	3.2	90	100	9	9	11	75
2020.11.22 3:56	3.2	90	100	9	9	11	75
2020.11.22 4:56	3.2	90	100	9	9	11	75
2020.11.22 5:57	3.3	91	100	8	8	11	73
2020.11.22 6:57	3.2	93	100	8	8	11	77
2020.11.22 7:57	3.2	93	100	8	8	11	77
2020.11.22 8:58	3.2	94	100	11	8	11	77
2020.11.22 9:58	3.2	95	100	11	8	11	80
2020.11.22 10:58	3.2	97	100	10	8	10	80
2020.11.23 14:34	3.1	120	100	7	5	9	89
2020.11.23 15:35	3.1	120	100	7	5	9	89
2020.11.25 14:40	3.3	136	100	8	4	8	71
2020.11.26 13:5	3.3	141	100	8	5	8	69
2020.11.26 14:5	3.3	142	100	8	5	8	68
2020.11.26 15:6	3.3	143	100	9	5	9	70
2020.11.28 11:22	3.3	162	100	7	3	7	72
2020.11.28 11:23	3.3	163	100	7	3	7	71
2020.11.28 12:23	3.3	163	100	7	3	7	71
2020.11.28 13:23	3.3	163	100	7	3	7	71
2020.11.28 14:24	3.3	163	100	7	3	7	71
