Name	ILLUSION CONNECT
Address	/store/apps/details?id=com.superprism.illusion
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:2	4.7	55,054	100	12	2	1	3
2020.11.19 5:21	4.7	63,524	100	12	2	1	3
2020.11.19 6:21	4.7	63,593	100	12	2	1	3
2020.11.19 6:35	4.7	63,593	100	12	2	1	3
2020.11.19 7:36	4.7	63,674	100	12	2	1	3
2020.11.19 8:36	4.7	63,731	100	12	2	1	3
2020.11.19 9:36	4.7	63,775	100	12	2	1	3
2020.11.19 10:37	4.7	63,839	100	12	2	1	3
2020.11.19 11:37	4.7	63,905	100	12	2	1	3
2020.11.19 12:37	4.7	63,972	100	12	2	1	3
2020.11.19 13:38	4.7	64,090	100	12	2	1	3
2020.11.21 4:59	4.7	66,663	100	11	2	1	3
2020.11.21 4:59	4.7	66,663	100	11	2	1	3
2020.11.21 5:59	4.7	66,751	100	11	2	1	3
2020.11.21 7:0	4.7	66,794	100	11	2	1	3
2020.11.21 7:48	4.7	66,855	100	11	2	1	3
2020.11.21 8:48	4.7	66,891	100	11	2	1	3
2020.11.21 9:49	4.7	66,964	100	11	2	1	3
2020.11.21 10:49	4.7	67,021	100	11	2	1	3
2020.11.21 11:49	4.7	67,061	100	11	2	1	3
2020.11.21 12:50	4.7	67,121	100	11	2	1	3
2020.11.21 13:50	4.7	67,185	100	11	2	1	3
2020.11.22 2:56	4.7	67,856	100	11	2	1	3
2020.11.22 3:56	4.7	67,930	100	11	2	1	3
2020.11.22 4:56	4.7	67,996	100	11	2	1	3
2020.11.22 5:57	4.7	68,043	100	11	2	1	3
2020.11.22 6:57	4.7	68,115	100	11	2	1	3
2020.11.22 7:57	4.7	68,171	100	11	2	1	3
2020.11.22 8:58	4.7	68,225	100	11	2	1	3
2020.11.22 9:58	4.7	68,285	100	11	2	1	3
2020.11.22 10:58	4.7	68,342	100	11	2	1	3
2020.11.23 14:34	4.7	69,617	100	11	2	1	3
2020.11.23 15:35	4.7	69,680	100	11	2	1	3
2020.11.25 14:40	4.7	71,280	100	11	2	1	4
2020.11.26 13:5	4.7	71,915	100	12	3	1	4
2020.11.26 14:5	4.7	71,933	100	11	2	1	4
2020.11.26 15:6	4.7	71,966	100	11	2	1	4
2020.11.28 11:22	4.7	73,223	100	12	3	1	4
