Name	Idlemon Tales
Address	/store/apps/details?id=com.overseas.Idlemon
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:28	4.5	887	100	3	3	4	8
2020.11.19 5:21	4.1	1,591	100	9	12	4	21
2020.11.19 6:21	4.1	1,598	100	10	13	4	21
2020.11.19 6:35	4.1	1,602	100	10	13	5	21
2020.11.19 7:36	4.1	1,607	100	11	12	4	20
2020.11.19 8:36	4.1	1,612	100	10	12	4	19
2020.11.19 9:36	4.1	1,617	100	12	12	4	21
2020.11.19 10:37	4.1	1,622	100	12	12	4	23
2020.11.19 11:37	4.1	1,626	100	12	13	3	22
2020.11.19 12:37	4.2	1,680	100	9	10	2	16
2020.11.19 13:38	4.3	1,689	100	9	10	2	16
2020.11.21 4:59	4.0	1,781	100	13	10	6	24
2020.11.21 4:59	4.0	1,781	100	13	10	6	24
2020.11.21 5:59	4.0	1,811	100	12	9	5	25
2020.11.21 7:0	4.1	1,836	100	10	7	4	22
2020.11.21 7:48	4.1	1,840	100	10	8	5	22
2020.11.21 8:48	4.1	1,845	100	11	8	4	22
2020.11.21 9:49	4.1	1,846	100	11	8	4	22
2020.11.21 10:49	4.1	1,847	100	11	8	5	22
2020.11.21 11:49	4.1	1,858	100	10	10	5	21
2020.11.21 12:50	4.1	1,861	100	10	10	5	21
2020.11.21 13:50	4.1	1,866	100	10	10	5	21
2020.11.22 2:56	4.1	1,841	100	11	11	5	22
2020.11.22 3:56	4.0	1,849	100	11	11	6	22
2020.11.22 4:56	4.0	1,850	100	11	11	6	23
2020.11.22 5:57	4.0	1,854	100	12	12	6	23
2020.11.22 6:57	4.0	1,861	100	12	11	6	23
2020.11.22 7:57	4.0	1,862	100	12	11	6	23
2020.11.22 8:58	4.0	1,862	100	12	11	6	23
2020.11.22 9:58	4.0	1,865	100	12	12	6	23
2020.11.22 10:58	4.0	1,868	100	12	12	6	24
2020.11.23 14:34	4.0	1,920	100	13	14	6	26
2020.11.23 15:35	4.1	1,927	100	10	9	3	21
2020.11.25 14:40	4.6	2,483	100	3	3	1	7
2020.11.26 13:5	4.6	2,664	100	5	2	3	7
2020.11.26 14:5	4.6	2,691	100	5	2	3	7
2020.11.26 15:6	4.6	2,708	100	4	2	3	7
2020.11.28 11:22	4.4	3,049	100	7	4	4	11
2020.11.28 11:23	4.4	3,048	100	7	4	4	11
2020.11.28 12:23	4.4	3,053	100	7	5	4	11
2020.11.28 13:23	4.4	3,056	100	7	4	4	11
2020.11.28 14:24	4.4	3,060	100	7	4	4	11
