Name	Ladder Race
Address	/store/apps/details?id=com.appadvisory.stickrace
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 8:0	3.6	291	100	16	8	10	47
2020.11.19 5:21	3.5	393	100	11	8	12	52
2020.11.19 6:21	3.5	393	100	11	8	12	52
2020.11.19 6:36	3.5	393	100	11	8	12	52
2020.11.19 7:36	3.5	394	100	11	7	12	51
2020.11.19 8:36	3.5	394	100	11	7	12	51
2020.11.19 9:36	3.5	394	100	11	7	12	51
2020.11.19 10:37	3.5	394	100	11	7	12	51
2020.11.19 11:37	3.5	394	100	11	7	12	51
2020.11.19 12:37	3.5	395	100	11	8	12	53
2020.11.19 13:38	3.5	396	100	12	8	12	53
2020.11.21 4:59	3.5	437	100	17	7	11	52
2020.11.21 4:59	3.5	437	100	17	7	11	52
2020.11.21 5:59	3.5	438	100	17	7	11	53
2020.11.21 7:0	3.5	439	100	17	7	11	53
2020.11.21 7:48	3.5	440	100	17	7	10	52
2020.11.21 8:48	3.5	440	100	17	7	10	52
2020.11.21 9:49	3.5	440	100	17	7	10	52
2020.11.21 10:49	3.5	440	100	17	7	10	52
2020.11.21 11:49	3.6	442	100	16	7	10	50
2020.11.21 12:50	3.6	442	100	16	7	10	50
2020.11.21 13:50	3.6	445	100	15	8	8	46
2020.11.22 2:56	3.6	457	100	16	9	8	48
2020.11.22 3:56	3.6	458	100	16	9	8	49
2020.11.22 4:56	3.6	459	100	15	9	7	49
2020.11.22 5:57	3.6	461	100	15	10	9	49
2020.11.22 6:57	3.6	461	100	15	10	9	49
2020.11.22 7:57	3.6	461	100	15	10	9	49
2020.11.22 8:58	3.6	463	100	15	12	9	50
2020.11.22 9:58	3.6	463	100	15	12	9	50
2020.11.22 10:58	3.6	463	100	15	12	9	50
2020.11.23 14:34	3.8	491	100	12	12	8	36
2020.11.23 15:35	3.7	493	100	12	14	7	38
2020.11.25 14:40	3.4	561	100	11	21	15	59
2020.11.26 13:5	3.4	588	100	10	17	15	54
2020.11.26 14:5	3.4	589	100	10	17	15	53
2020.11.26 15:6	3.5	594	100	11	16	16	50
2020.11.28 11:22	3.7	640	100	12	11	14	35
2020.11.28 11:23	3.7	640	100	12	11	14	35
2020.11.28 12:23	3.7	642	100	12	11	14	36
2020.11.28 13:23	3.7	645	100	12	10	13	37
2020.11.28 14:24	3.7	645	100	12	10	13	37
