Name	Lucky Bingo – Free Bingo, Win Rewards
Address	/store/apps/details?id=com.game.lucky.bingo.android
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:10	4.8	5,361	100	4	2	0	2
2020.11.19 5:21	4.7	6,315	100	5	2	1	3
2020.11.19 6:21	4.7	6,310	100	5	2	1	3
2020.11.19 6:36	4.7	6,310	100	5	2	1	3
2020.11.19 7:36	4.7	6,308	100	5	2	1	3
2020.11.19 8:36	4.7	6,313	100	4	2	1	3
2020.11.19 9:36	4.7	6,320	100	4	2	1	3
2020.11.19 10:37	4.7	6,326	100	4	2	1	3
2020.11.19 11:37	4.7	6,333	100	4	1	1	3
2020.11.19 12:37	4.7	6,338	100	4	1	1	3
2020.11.19 13:38	4.7	6,341	100	4	1	1	3
2020.11.21 4:59	4.7	6,633	100	3	2	1	4
2020.11.21 4:59	4.7	6,632	100	3	2	1	4
2020.11.21 5:59	4.7	6,644	100	3	2	1	4
2020.11.21 7:0	4.7	6,654	100	4	2	1	4
2020.11.21 7:48	4.7	6,661	100	4	2	1	4
2020.11.21 8:48	4.7	6,673	100	4	2	1	4
2020.11.21 9:49	4.7	6,677	100	4	2	1	4
2020.11.21 10:49	4.7	6,686	100	4	2	1	4
2020.11.21 11:49	4.7	6,694	100	4	3	1	4
2020.11.21 12:50	4.7	6,701	100	4	3	1	4
2020.11.21 13:50	4.7	6,705	100	4	3	1	4
2020.11.22 2:56	4.7	6,750	100	4	3	1	5
2020.11.22 3:56	4.7	6,757	100	4	3	1	5
2020.11.22 4:56	4.7	6,762	100	4	3	1	5
2020.11.22 5:57	4.7	6,773	100	4	3	1	5
2020.11.22 6:57	4.7	6,784	100	4	3	1	5
2020.11.22 7:57	4.6	6,794	100	4	4	1	6
2020.11.22 8:58	4.6	6,802	100	4	4	1	6
2020.11.22 9:58	4.6	6,813	100	4	4	1	6
2020.11.22 10:58	4.6	6,819	100	4	4	1	6
2020.11.23 14:34	4.6	6,977	100	5	4	2	7
2020.11.23 15:35	4.6	6,986	100	5	4	2	7
2020.11.25 14:40	4.5	7,247	100	7	5	1	8
2020.11.26 13:5	4.5	7,360	100	7	4	1	8
2020.11.26 14:5	4.6	7,366	100	7	4	1	7
2020.11.26 15:6	4.6	7,373	100	7	4	1	7
2020.11.28 11:22	4.6	7,654	100	6	2	2	6
