Name	Restaurant Life
Address	/store/apps/details?id=com.furylion.restaurantlife
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 7:41	3.4	1,512	100	21	23	18	53
2020.11.19 5:21	4.4	2,616	100	10	9	3	11
2020.11.19 6:21	4.3	2,622	100	10	9	3	11
2020.11.19 6:36	4.3	2,624	100	10	9	3	12
2020.11.19 7:36	4.3	2,630	100	9	9	4	11
2020.11.19 8:36	4.3	2,639	100	9	8	4	11
2020.11.19 9:37	4.3	2,645	100	9	9	4	12
2020.11.19 10:37	4.3	2,655	100	10	8	3	12
2020.11.19 11:37	4.3	2,673	100	9	8	3	13
2020.11.19 12:37	4.3	2,686	100	9	8	3	12
2020.11.19 13:38	4.3	2,696	100	9	9	3	12
2020.11.21 4:59	4.2	3,135	100	12	10	4	17
2020.11.21 4:59	4.2	3,135	100	12	10	4	17
2020.11.21 5:59	4.2	3,142	100	18	12	4	18
2020.11.21 7:0	4.1	3,151	100	18	12	4	18
2020.11.21 7:48	4.2	3,160	100	17	12	4	18
2020.11.21 8:48	4.2	3,172	100	17	11	4	17
2020.11.21 9:49	4.2	3,187	100	17	11	4	18
2020.11.21 10:49	4.2	3,214	100	17	11	3	17
2020.11.21 11:49	4.2	3,225	100	18	11	3	17
2020.11.21 12:50	4.2	3,260	100	17	10	3	17
2020.11.21 13:50	4.2	3,270	100	16	10	3	16
2020.11.22 2:56	4.2	3,483	100	12	9	4	15
2020.11.22 3:56	4.2	3,487	100	12	9	5	15
2020.11.22 4:56	4.2	3,493	100	12	9	4	15
2020.11.22 5:57	4.2	3,507	100	12	8	4	15
2020.11.22 6:57	4.2	3,518	100	12	9	5	15
2020.11.22 7:57	4.2	3,527	100	12	9	5	15
2020.11.22 8:58	4.2	3,548	100	13	9	5	15
2020.11.22 9:58	4.2	3,562	100	13	9	5	15
2020.11.22 10:58	4.2	3,578	100	13	9	5	15
2020.11.23 14:34	4.3	3,997	100	12	8	5	14
2020.11.23 15:35	4.2	4,019	100	11	8	5	15
2020.11.25 14:40	4.3	4,728	100	12	8	4	14
2020.11.26 13:5	4.3	5,148	100	10	9	4	15
2020.11.26 14:5	4.3	5,165	100	10	10	3	15
2020.11.26 15:6	4.3	5,184	100	10	10	3	15
2020.11.28 11:22	4.4	6,075	100	9	8	5	11
2020.11.28 11:23	4.4	6,075	100	9	8	5	11
2020.11.28 12:23	4.4	6,128	100	9	7	5	11
2020.11.28 13:23	4.4	6,157	100	9	7	5	11
2020.11.28 14:24	4.4	6,197	100	9	7	4	10
