Writer	Rate	Date	Contents
salman8604 [YT]	1	November 2, 2020	SPACE NOT WORKING BUT EVERY GAME WORKS
Govani Nilay	1	November 2, 2020	Bored at just 3 games 😑
Ayush Boss Pro gaming	5	November 2, 2020	Hi kutti
Mi Phone	2	November 2, 2020	Ok nice game
Suman Gaytam	5	November 2, 2020	Nice
Renuga Kanakaraj	5	November 2, 2020	Superb
Otakv Fox	5	November 2, 2020	Aa
Bholu Adakane	5	November 2, 2020	very good
Orlomjav Tseedorj	5	November 2, 2020	💪
The Enthusiastic Gamer	2	November 2, 2020	The concept is great but my framerate is literally 2 so there's that
Kamini Joshi	5	November 2, 2020	Good
Lynn Marcus	2	November 2, 2020	Hard to control but fun
mg thet	4	November 2, 2020	Ijj
Monster On Road	1	November 2, 2020	Very slow
Attitude World	1	November 2, 2020	This game is very bad
Best Shorthand Steno	4	November 2, 2020	Good game
Dipendra Chaudhary	5	November 2, 2020	shortcutRun
khatra khatra khatra gaming khatra gaming	5	November 2, 2020	yeh game time pass ke liye good hai
Bharadwaj Giridhar	4	November 2, 2020	Haha funny and nice game. Found a bug where if you hit the finish line first with less wooden plates and run around your way back to the track you can infinitely collect more plates and get 15x points each time. Nice 2 days with this app. Got pretty addictive. Uninstalling. Good work dev! Wish it had multiplayer!
Kasun Malawanna	1	November 3, 2020	Trash constant adds
aniyah _2018	3	November 3, 2020	Ads that is it
Chanchal Singh	4	November 3, 2020	Argun
Kendra DiGuglielmo	1	November 3, 2020	I hate when it makes you do a feedback 😡😡😡😡😡😡😡😡😡😡😤🤬😡😤😤😤😤😤😤😤😤
Umer Naseer	5	November 3, 2020	Time killing
Ronak Jain	3	November 3, 2020	Quite a good game concept but very bad execution. Should have been a lot better and definitely a lot harder. Lastly make ads pop up after some time not just after every level
shashank Kulkarni	5	November 3, 2020	Excellent game I love it
khuslen Munkhbayar	5	November 3, 2020	nice
AmirReza Bayati	3	November 3, 2020	Too easy. Not chalenging
Matthew E	2	November 3, 2020	Way to many ads
Camieon Brown	5	November 3, 2020	good game
SAKTHI1357Y GAMER TAMIL	1	November 3, 2020	Super
Munir Ghouri	5	November 3, 2020	time killeer
Mujeeb ullah Ibrahimi	5	November 3, 2020	Good graphic and good game
xictq search	1	November 3, 2020	Worst game around
Jaylyn Coleman	1	November 3, 2020	I already hate the and i just uplodeide it. The speed of the game is slow and i can barely can control my carter! I saw it on #1 free games! Pleas inprove your game i will install next week to see inprovemints.
Wa hid	1	November 3, 2020	Boring
Magik JUICE	1	November 3, 2020	Cant install it
Nehalennia	3	November 3, 2020	This game is fun and all but I unlocked everything in one day and lost the desire to play after that.
Melissa Nova	5	November 3, 2020	Well its fun to play and seeing if youll win
ravi jain	1	November 3, 2020	Most lacking game ever And its too easy game i have ever played
Bray Aguirre	5	November 3, 2020	Good
Victoria Vestal	5	November 3, 2020	Like it
eugene Blackson	5	November 3, 2020	Great Game
Cyril Bibawy	4	November 3, 2020	Yeeet
RI DA	5	November 3, 2020	so much fun xd the only annoying thing in the game is ads :( n i wish if u add online mode that will be awesome.
Jessica Styles	1	November 3, 2020	TRASH
FewGrain 5	1	November 3, 2020	Ads suck
the forgotten	1	November 3, 2020	BAD I UNINSTALLED
Junior Norzil	5	November 3, 2020	Good
Deadly Night Shade	1	November 3, 2020	All voodoo games lag
Mithic Person	2	November 3, 2020	To many adds
Just another Hank Hill Account	1	November 3, 2020	Ad aftet ad, even if I choose not to watch one Just honestly, stop making these games. It's obvious no effort is put into these as your ads for these pollute YouTube ads. If you're gonna make a game, don't be lazy about it
The Hebsquatch	1	November 3, 2020	STOP MAKING GAMES VOODOO! They all mainly suck now because you killed your OWN CONTENT THE GAME WITH ENDLESS ADS! Seriously knock it off with this. No reason there needs to be a 30 to 1:30 min add at the end of every level. It's no wonder you guys are losing SO MUCH RESPECT on Mobile gaming.
forest tire	1	November 3, 2020	The only purpose of this game is to make money off ads, DON'T DOWNLOAD
Laddi Bedi	5	November 3, 2020	Good
A Google user	3	November 3, 2020	Guys turn off your internet to get rid of ads
Megha Vardhan	5	November 3, 2020	It is very very very very very very amazing
Mb Juyal	5	November 3, 2020	Juyel
Wendy Stephan	5	November 3, 2020	Good
Sujan Shrestha	5	November 3, 2020	Sujan app
HacccGaming	1	November 3, 2020	Too many ads i dont care if this is an free game way too many
Shlok Sharma	5	November 3, 2020	I like the game 👍
Lionel Vargas	1	November 3, 2020	I know people have to make their living but come on, there are games that do better without or few ads. Bots are the only thing you play against in this game and it so frustratingly easy. This type of game should be online. The game itself is pretty fun till you get hit by the ads though. Its not only this game but to all voodoo created games. Please Fix.😡
Sejan Thapa	5	November 3, 2020	It's correct 😊😊 game for me
Sanyogita Tripathi	5	November 3, 2020	Good
Brayden McGrath	3	November 3, 2020	I see this game as a fun and quick time consumer game. I just played it when i had free time or if i was waiting and needed to kill time.
Gaurav Pallavi	5	November 3, 2020	Free game good 👍👍👍
Ishwar Singh	5	November 3, 2020	fun
Geophysics Lover	3	November 3, 2020	build your way and jump to the edges but one thing that there's ads so turn airplane mode on so its kinda fun but the rest is just good and stuff but there's no online but you need the mod menu for installing online thats the fun part! have a good time!
Daniel	1	November 3, 2020	The forced ads last longer than the fake multiplayer races (turn on airplane mode and mysteriously race against other players...). Not worth anyone's time. Tried voodoo again, this reinforces that they are the worst when it comes to monetizing with excessive ads.
ganchalife with hiya	1	November 3, 2020	It is the worst game ever! If u want me to rate then make it soomoth it hangs when u are running but for now i am rating one star because my friend like this game 😠
Srashti Sachan	1	November 3, 2020	I am thinking I not give any star ads too much 😒 and in this game only in short cut game my phone hange not others game l like that game very much but hange is too much
Hridaya Giri	5	November 3, 2020	Interesting game 👍
shree	2	November 3, 2020	This game was nice untill your not able to control your character. So I deleted.👎👎
Anjali Gupta	1	November 3, 2020	Worst game ever I am not able to control my player It is hanging again and again My phone is hanging after uninstalling it also Please do not downlode it
ASMRCLEANINGX	1	November 3, 2020	This is trash bro the ads is annoy
Saeed sheykhzadeh	5	November 3, 2020	✌🏼✌🏼✌🏼
Bong dila	4	November 3, 2020	😍😍😍😍😍
Matthew Borg	1	November 3, 2020	Kind of fun. But you have to watch ads even if you don't want the bonus after every level. I would rather just pay $3-5 for a full game with no ads.
Christopher Van Ochten	1	November 3, 2020	UNPLAYABLE, UNLESS YOU LIKE NON STOP ADS, DONT PLAY THIS GAME.
Bharatha Mallesh	1	November 3, 2020	Dirty game
Sumanth Kumar Neralla	5	November 3, 2020	People are running
chhavi joshi	1	November 3, 2020	Worst game ever......😡😡😡😡this game is so much lagging
Rami Al-Awartani	5	November 3, 2020	😳😳😳😳😳😳😳😳😳😳
NINJA GAMER	5	November 3, 2020	Pagal madarchot game
A STAR NETWORKS	1	November 3, 2020	This is fun
Phoenix Fiere	2	November 3, 2020	Don't install it. It's really hard to move around so I just die. I would like sound but overall the concept is great. I would like the controls to easier instead of swiping because for me it's really hard to control
Zack Priolo	4	November 3, 2020	Good game too many ads
