Name	Warpath
Address	/store/apps/details?id=com.wondergames.warpath.gp
Time	Mean Rate	Total Rates	Rate 5	Rate 4	Rate 3	Rate 2	Rate 1
2020.11.14 6:50	4.0	8,866	100	15	9	5	27
2020.11.19 5:21	3.9	19,515	100	22	11	6	28
2020.11.19 6:21	4.0	19,677	100	23	11	6	27
2020.11.19 6:36	4.0	19,677	100	23	11	6	27
2020.11.19 7:36	4.0	19,808	100	23	11	6	27
2020.11.19 8:36	4.0	19,887	100	23	11	6	26
2020.11.19 9:37	4.0	19,984	100	23	11	6	26
2020.11.19 10:37	4.0	20,094	100	23	10	6	26
2020.11.19 11:37	4.0	20,177	100	23	10	6	26
2020.11.19 12:38	4.0	20,267	100	23	10	6	26
2020.11.19 13:38	4.0	20,361	100	24	11	6	26
2020.11.21 4:59	4.0	22,351	100	24	10	5	23
2020.11.21 4:59	4.0	22,351	100	24	10	5	23
2020.11.21 6:0	4.0	22,367	100	24	10	5	23
2020.11.21 7:0	4.0	22,394	100	24	10	5	23
2020.11.21 7:48	4.0	22,411	100	24	10	5	23
2020.11.21 8:48	4.0	22,439	100	24	10	5	23
2020.11.21 9:49	4.0	22,469	100	24	10	5	23
2020.11.21 10:49	4.0	22,484	100	24	10	5	23
2020.11.21 11:49	4.0	22,514	100	24	10	5	23
2020.11.21 12:50	4.0	22,551	100	24	10	5	23
2020.11.21 13:50	4.0	22,594	100	24	10	5	23
2020.11.22 2:56	4.0	22,950	100	24	11	6	25
2020.11.22 3:56	4.0	22,959	100	24	11	6	25
2020.11.22 4:57	4.0	22,977	100	24	11	6	25
2020.11.22 5:57	4.0	22,996	100	24	11	6	25
2020.11.22 6:57	4.0	23,010	100	24	10	6	25
2020.11.22 7:58	4.0	23,035	100	24	11	6	25
2020.11.22 8:58	4.0	23,061	100	24	11	6	25
2020.11.22 9:58	4.0	23,094	100	24	11	6	25
2020.11.22 10:58	4.0	23,122	100	24	11	6	25
2020.11.23 14:35	4.1	25,159	100	28	10	4	18
2020.11.23 15:35	4.2	25,228	100	28	8	3	14
2020.11.25 14:40	4.2	26,485	100	30	11	4	16
2020.11.26 13:5	4.1	26,968	100	30	11	5	19
2020.11.26 14:6	4.1	26,998	100	30	12	5	19
2020.11.26 15:6	4.1	27,010	100	30	11	5	19
2020.11.28 11:22	4.0	27,948	100	29	12	6	22
2020.11.28 11:23	4.0	27,948	100	29	12	6	22
2020.11.28 12:23	4.0	27,975	100	29	12	7	22
2020.11.28 13:24	4.0	27,994	100	29	12	7	22
2020.11.28 14:24	4.0	28,017	100	29	12	7	22
